File_ID,Access_Frequency,Frequnecy_of_Access,File_Size,File_Lifecycle_Stage,Modification_Frequency,File_Age,Storage_Tier
File_1,21.2307,24.4205,0.0,0.0,23.3177,2.6015,Hot
File_2,24.0589,4.5884,1.8784,8.4383,4.8516,7.7843,Warm
File_3,25.1752,10.111,0.0,0.0,5.7295,1.9126,Warm
File_4,4.2926,17.4557,0.0,0.0,8.7832,2.3784,Cold
File_5,19.9357,23.3908,0.0,0.0,12.2302,3.512,Warm
File_6,28.4249,23.1148,7.056,9.1548,9.2075,1.89,Hot
File_7,19.6673,8.6535,6.2278,7.922,14.8424,0.0,Warm
File_8,16.5561,22.7516,4.0345,3.529,9.6637,5.4443,Warm
File_9,9.0017,8.5943,15.8221,15.2384,9.1963,0.0,Warm
File_10,17.6529,18.1427,10.5044,4.3349,4.9068,5.525,Warm
File_11,19.7272,13.4999,0.0,0.0,4.1611,3.6301,Warm
File_12,12.5587,4.503,7.5483,10.9398,19.481,0.0,Warm
File_13,18.3775,5.8802,13.7989,8.1201,17.0848,0.0,Warm
File_14,20.601,16.049,11.2375,4.4148,8.6268,9.4964,Hot
File_15,11.1225,2.1503,23.7565,5.6576,18.905,0.0,Warm
File_16,18.219,6.9464,8.238,5.3158,4.1754,4.0801,Warm
File_17,11.614,7.9994,11.8414,12.6774,16.3213,0.0,Warm
File_18,12.4034,8.663,24.3183,16.1883,16.5326,0.0,Hot
File_19,3.2541,8.7259,15.0951,15.4238,7.0053,0.0,Warm
File_20,5.2861,3.5835,7.4715,6.5428,18.9448,0.0,Warm
File_21,14.6663,5.0468,11.5974,10.4331,2.4207,0.0,Warm
File_22,24.2586,8.2499,4.8837,7.4984,9.693,9.5935,Warm
File_23,24.815,2.9632,1.7385,2.3035,7.3976,2.426,Warm
File_24,11.0123,4.7973,25.2209,19.3902,13.2277,0.0,Hot
File_25,8.9593,16.9293,6.7719,6.125,3.8591,6.6154,Warm
File_26,26.4716,6.3557,0.0,0.0,4.8884,0.8402,Cold
File_27,22.8606,11.7598,4.869,1.0755,8.8206,1.3375,Warm
File_28,33.4726,18.2265,0.0,0.0,28.9998,3.6329,Hot
File_29,2.6661,2.7836,5.644,12.2062,17.9589,0.0,Warm
File_30,5.7881,17.3176,5.4526,5.4482,3.8956,8.7574,Warm
File_31,3.4831,6.969,5.8753,9.7847,7.966,4.018,Cold
File_32,11.8026,5.574,0.0,0.0,27.4157,4.2277,Warm
File_33,10.6241,9.771,9.2649,14.9133,3.5073,0.0,Warm
File_34,5.7908,7.7561,19.0256,16.9722,8.5523,0.0,Warm
File_35,9.2796,23.5039,11.9069,7.3645,5.3503,6.1616,Warm
File_36,13.4906,13.8562,0.0,0.0,6.9337,1.0563,Cold
File_37,22.663,23.8768,0.0,0.0,8.9732,0.8638,Warm
File_38,12.7426,9.076,8.6328,2.0174,8.9812,1.9588,Warm
File_39,29.285,3.3306,0.0,0.0,6.0732,4.4385,Warm
File_40,9.3538,23.9732,0.0,0.0,15.0393,3.53,Warm
File_41,26.6758,5.7457,0.0,0.0,28.906,4.546,Warm
File_42,17.6906,18.3333,5.698,2.8478,3.825,1.2426,Warm
File_43,22.3971,9.6256,6.7234,4.5471,1.5713,3.8244,Warm
File_44,19.2624,1.9911,8.7457,12.997,19.4432,0.0,Warm
File_45,10.3468,4.1669,7.892,5.6995,5.546,0.0,Cold
File_46,5.3874,19.2606,2.708,6.1118,4.0161,3.0241,Warm
File_47,4.0961,6.6566,12.083,6.1532,9.2,3.188,Warm
File_48,20.4526,18.4589,0.0,0.0,3.544,1.5847,Warm
File_49,11.8502,26.1637,0.0,0.0,3.2648,3.8407,Warm
File_50,16.1701,21.6939,3.5583,5.4627,8.0754,1.6863,Warm
File_51,5.0837,7.9083,29.2967,16.6236,7.6922,0.0,Warm
File_52,16.8575,6.3568,6.3722,5.68,11.7098,0.0,Warm
File_53,24.9215,16.3735,10.4738,5.9213,9.3969,9.7837,Hot
File_54,9.0495,14.5514,0.0,0.0,20.8297,1.624,Warm
File_55,24.7467,14.9268,0.0,0.0,14.7319,2.8944,Warm
File_56,15.8264,12.0425,0.0,0.0,20.2599,2.3542,Warm
File_57,2.3366,7.1562,18.4879,12.5651,4.4652,0.0,Warm
File_58,13.6212,11.4241,9.6761,3.0784,1.0665,5.7054,Warm
File_59,17.896,9.1919,27.8339,13.3762,6.018,0.0,Hot
File_60,10.5231,3.0031,14.007,11.9753,18.1435,0.0,Warm
File_61,28.9618,7.3832,13.8034,7.7924,6.7431,4.2813,Warm
File_62,15.6353,8.8588,11.3251,14.3275,17.112,0.0,Warm
File_63,14.4827,5.1365,5.2688,4.1937,12.7887,0.0,Warm
File_64,7.7066,8.0757,4.4052,6.0687,7.744,1.464,Cold
File_65,9.0062,6.6691,13.2522,17.0493,11.6872,0.0,Warm
File_66,19.4657,8.1907,19.7796,6.762,18.249,0.0,Hot
File_67,33.6915,19.4713,0.0,0.0,5.1896,4.2868,Warm
File_68,33.7531,13.2088,0.0,0.0,7.3989,1.9483,Warm
File_69,22.8878,16.0287,0.0,0.0,17.2593,4.5464,Warm
File_70,7.2595,3.2091,23.0137,2.0714,5.3791,0.0,Warm
File_71,4.4597,28.9815,0.0,0.0,7.6152,1.1604,Warm
File_72,12.011,18.6392,0.0,0.0,24.1221,4.0985,Warm
File_73,20.4885,16.1046,0.0,0.0,18.2335,2.2055,Warm
File_74,24.642,22.6144,1.8224,6.0668,1.1176,3.6381,Warm
File_75,15.547,9.6643,6.6471,10.9066,12.1919,0.0,Warm
File_76,14.0553,7.7516,11.6425,4.2054,14.7798,0.0,Warm
File_77,9.1094,7.9695,21.2471,10.7629,13.5285,0.0,Warm
File_78,20.8471,29.562,0.0,0.0,22.7197,3.7413,Hot
File_79,34.2456,15.3242,0.0,0.0,22.8816,4.8948,Hot
File_80,21.7672,12.4989,10.429,2.7565,5.6831,7.0391,Warm
File_81,9.5805,4.6067,25.9952,12.4028,15.0622,0.0,Warm
File_82,3.2059,9.7899,9.6118,19.2127,7.1778,0.0,Warm
File_83,13.2009,6.6402,28.021,15.928,17.0636,0.0,Hot
File_84,2.1803,9.1227,24.3145,9.3183,14.1936,0.0,Warm
File_85,25.2404,13.2811,7.7358,1.404,5.5415,7.6283,Warm
File_86,4.8624,3.9907,7.4072,2.4608,7.3212,2.4385,Cold
File_87,16.0199,21.3938,0.0,0.0,8.5458,4.4428,Warm
File_88,4.8304,18.0571,13.653,6.8632,5.1646,5.9631,Warm
File_89,8.7504,20.4369,0.0,0.0,10.2026,3.213,Warm
File_90,15.7282,13.6724,0.0,0.0,19.2977,3.6864,Warm
File_91,28.7332,18.2239,12.7646,1.2718,9.0046,6.5398,Hot
File_92,27.7775,23.262,4.8165,3.3949,1.6456,7.5177,Warm
File_93,9.8957,9.127,22.4442,12.7914,6.6633,0.0,Warm
File_94,27.7491,26.8663,0.0,0.0,13.7002,1.0155,Warm
File_95,25.8806,11.1567,0.0,0.0,16.1461,0.9449,Warm
File_96,4.9011,24.6131,0.0,0.0,21.2441,2.7003,Warm
File_97,16.5054,9.5807,19.3719,8.0955,16.9141,0.0,Hot
File_98,5.0738,2.9764,9.2269,10.0067,15.3609,0.0,Warm
File_99,29.0477,15.3508,0.0,0.0,22.0888,1.969,Warm
File_100,3.9748,2.9032,5.1054,2.2743,2.093,0.0,Cold
File_101,25.6393,8.8905,4.1151,2.4246,8.3356,6.7498,Warm
File_102,3.9729,6.8763,0.0,0.0,13.1324,1.0784,Cold
File_103,20.4125,9.2507,1.6928,5.7791,5.6716,2.1474,Warm
File_104,23.8472,12.1233,4.038,5.447,2.1598,3.4855,Warm
File_105,24.153,13.405,0.0,0.0,20.1308,1.5818,Warm
File_106,21.8139,24.0386,0.0,0.0,21.6381,3.3408,Hot
File_107,31.6922,17.6029,0.0,0.0,17.322,4.5936,Hot
File_108,25.727,22.8457,0.0,0.0,9.7172,4.845,Warm
File_109,5.3288,8.4294,0.0,0.0,20.0112,4.56,Cold
File_110,10.3512,4.2953,29.2912,2.7141,11.4601,0.0,Warm
File_111,31.3921,23.3828,0.0,0.0,22.6679,1.7015,Hot
File_112,24.3705,4.4087,1.9565,4.4197,7.5202,3.7875,Warm
File_113,11.6083,13.1509,0.0,0.0,5.5114,4.2442,Cold
File_114,11.9178,3.938,12.0423,15.9485,19.0221,0.0,Warm
File_115,7.5409,24.752,0.0,0.0,25.535,3.0871,Warm
File_116,11.534,8.9817,25.2042,7.1856,4.7952,0.0,Warm
File_117,7.7711,4.6446,6.374,3.1546,7.3488,0.0,Cold
File_118,7.583,3.6551,12.4149,7.7901,15.3235,0.0,Warm
File_119,4.1692,3.8223,22.4057,15.9678,12.2014,0.0,Warm
File_120,15.8079,22.8117,13.8837,9.6308,8.2591,9.2364,Hot
File_121,16.2643,2.1978,16.9831,12.2458,19.6665,0.0,Warm
File_122,12.2134,4.014,29.4491,16.185,8.5884,0.0,Hot
File_123,19.4396,5.7359,7.4802,4.6407,14.2329,0.0,Warm
File_124,9.2503,13.9766,0.0,0.0,5.6492,2.9284,Cold
File_125,22.0814,7.0467,2.3914,6.0838,6.7052,8.6108,Warm
File_126,23.5369,7.6289,0.0,0.0,12.8284,4.272,Warm
File_127,16.3726,2.9574,8.3503,10.7864,17.9997,0.0,Warm
File_128,21.0385,14.6146,14.1122,8.1036,7.4598,8.2449,Hot
File_129,13.8752,2.6842,8.602,4.3884,8.797,1.6801,Warm
File_130,17.712,8.0865,18.6088,2.7141,17.1503,0.0,Warm
File_131,33.4203,21.5831,0.0,0.0,24.9438,2.7806,Hot
File_132,7.6168,7.9115,20.2228,19.6895,7.0286,0.0,Warm
File_133,9.2678,6.6067,11.2172,7.374,11.0124,0.0,Warm
File_134,15.7507,9.6735,9.7483,2.171,9.5504,0.0,Warm
File_135,14.9745,13.7371,0.0,0.0,20.8804,4.4994,Warm
File_136,29.8636,13.2372,0.0,0.0,12.9493,3.8347,Warm
File_137,23.5226,11.1432,12.2271,5.3051,2.2878,2.3195,Warm
File_138,28.8577,12.8194,0.0,0.0,28.3551,2.3375,Hot
File_139,7.1135,4.7447,10.3071,7.9791,18.2687,0.0,Warm
