File_ID,Access_Frequency,Frequnecy_of_Access,File_Size,File_Lifecycle_Stage,Modification_Frequency,File_Age,Storage_Tier,Storage_Tier_Encoded
File_1,0.589,0.8167,0.0,0.0,0.7786,0.2631,Hot,2
File_2,0.676,0.1249,0.0633,0.4262,0.134,0.7871,Warm,1
File_3,0.7103,0.3176,0.0,0.0,0.1646,0.1934,Warm,1
File_4,0.0681,0.5738,0.0,0.0,0.2712,0.2405,Cold,0
File_5,0.5492,0.7808,0.0,0.0,0.3916,0.3551,Warm,1
File_6,0.8102,0.7712,0.2376,0.4624,0.286,0.1911,Hot,2
File_7,0.5409,0.2667,0.2097,0.4001,0.4828,0.0,Warm,1
File_8,0.4452,0.7585,0.1359,0.1782,0.302,0.5505,Warm,1
File_9,0.2129,0.2647,0.5328,0.7697,0.2857,0.0,Warm,1
File_10,0.479,0.5978,0.3537,0.2189,0.1359,0.5587,Warm,1
File_11,0.5428,0.4358,0.0,0.0,0.1099,0.3671,Warm,1
File_12,0.3223,0.1219,0.2542,0.5525,0.6447,0.0,Warm,1
File_13,0.5013,0.17,0.4647,0.4101,0.561,0.0,Warm,1
File_14,0.5696,0.5247,0.3784,0.223,0.2658,0.9602,Hot,2
File_15,0.2782,0.0399,0.8,0.2858,0.6246,0.0,Warm,1
File_16,0.4964,0.2072,0.2774,0.2685,0.1104,0.4126,Warm,1
File_17,0.2933,0.2439,0.3987,0.6403,0.5344,0.0,Warm,1
File_18,0.3175,0.2671,0.8189,0.8176,0.5418,0.0,Hot,2
File_19,0.0362,0.2693,0.5083,0.779,0.2092,0.0,Warm,1
File_20,0.0987,0.0899,0.2516,0.3305,0.626,0.0,Warm,1
File_21,0.3871,0.1409,0.3905,0.527,0.0491,0.0,Warm,1
File_22,0.6821,0.2527,0.1645,0.3787,0.303,0.9701,Warm,1
File_23,0.6992,0.0682,0.0585,0.1163,0.2229,0.2453,Warm,1
File_24,0.2748,0.1322,0.8493,0.9794,0.4264,0.0,Hot,2
File_25,0.2116,0.5554,0.228,0.3094,0.0993,0.6689,Warm,1
File_26,0.7502,0.1866,0.0,0.0,0.1353,0.085,Cold,0
File_27,0.6391,0.3751,0.164,0.0543,0.2725,0.1352,Warm,1
File_28,0.9655,0.6007,0.0,0.0,0.977,0.3673,Hot,2
File_29,0.0181,0.062,0.1901,0.6165,0.5916,0.0,Warm,1
File_30,0.1141,0.569,0.1836,0.2752,0.1006,0.8855,Warm,1
File_31,0.0432,0.208,0.1978,0.4942,0.2427,0.4063,Cold,0
File_32,0.2991,0.1593,0.0,0.0,0.9217,0.4275,Warm,1
File_33,0.2628,0.3057,0.312,0.7532,0.0871,0.0,Warm,1
File_34,0.1142,0.2354,0.6407,0.8572,0.2632,0.0,Warm,1
File_35,0.2215,0.7848,0.401,0.372,0.1514,0.623,Warm,1
